ID,area,edge,E_A,mean_B1,mean_B2,mean_B3,mean_B4,mean_NDVI,sd_B1,sd_B2,sd_B3,sd_B4,sd_NDVI
2696,2.227429518,0.35957883,0.161432192,388.7137097,718.7620968,485.3467742,3279.741935,0.787320751,49.82010851,54.31110576,118.3594022,280.8395127,0.027606527
2799,2.676511189,0.37160624,0.138839786,364.5234899,733.4798658,394.2416107,3828.402685,0.825777201,14.75847477,30.04790671,29.37580741,208.7221638,0.009649458
2882,2.056763688,0.611292132,0.297210679,1072.895197,1589.978166,1968.174672,2910.676856,0.461947331,155.0812108,181.8228713,227.2734366,293.8345406,0.047802964
2913,5.370990271,0.563475773,0.104910965,365.1555184,729.7692308,408.770903,3582.08194,0.813937677,26.51539601,47.90873082,80.84368371,286.2313813,0.02078203
3001,1.993893031,0.287664545,0.144272807,1375.477477,1956.04955,2370.828829,3387.198198,0.423585688,143.2310001,131.8160046,173.1752636,136.5738373,0.039656447
3093,3.98779889,0.497429812,0.124737938,380.9166667,588.1103604,383.7432432,2993.472973,0.773709932,15.94600912,31.28488454,20.00229839,171.8037799,0.013726488
3229,1.724450575,0.311719059,0.180764275,379.15625,603.5416667,408.6770833,3224.036458,0.788720683,16.67981702,45.79705212,29.74973969,241.2053148,0.01506167
3359,3.826126264,0.497389983,0.129998319,363.6690141,535.8356808,371.415493,2793.389671,0.768418626,18.04441129,36.81580535,22.90314429,249.8962576,0.018579344
3661,1.643613425,0.203803439,0.123997185,1265.163934,1873.885246,2296.655738,3197.032787,0.433353295,78.33280234,99.28327189,103.0605101,92.07324495,0.018636276
3664,1.284352367,0.335825419,0.261474521,693.5454545,1143.251748,1243.328671,2574.342657,0.572972988,90.11297504,187.7007083,177.3769669,289.8716594,0.060165066
3822,4.140509628,0.779333718,0.18822169,381.7830803,748.6572668,458,3434.785249,0.79733949,36.52391438,42.40549206,87.64084317,381.4701018,0.032987086
3901,3.799175332,0.86303319,0.227163296,945.822695,1406.245863,1687.735225,2708.018913,0.481774317,84.72615075,115.8600892,165.1260781,231.6328289,0.029910106
4015,1.419079648,0.305705547,0.215425221,353.3924051,478.7974684,364.778481,2133.208861,0.711901179,18.27735205,45.35616441,37.71323636,313.1040212,0.033156049
4085,3.197448433,0.581543255,0.18187729,366.3483146,690.9662921,407.3595506,2856.227528,0.766177939,39.21751581,48.92994692,87.2842205,449.1651617,0.055267168
4219,7.185187882,1.037070495,0.144334499,582.3075,977.75875,1045.22125,2192.92625,0.55992914,79.84100561,174.5122738,212.2907594,583.2053488,0.106343218
4282,1.329268877,0.425635688,0.320202854,372.5067568,596.2837838,433.8581081,2463.432432,0.732671725,22.37542889,26.67109841,75.64534239,333.0063668,0.044395182
4285,1.904086838,0.263650337,0.138465501,386.754717,649.8349057,402.509434,3356.575472,0.792291211,24.19130364,36.5100273,40.14694461,238.0218616,0.021613657
4494,1.814260608,0.323693124,0.178416002,873.7326733,1656.826733,2038.930693,2150.158416,0.42125347,88.06650484,247.3201335,397.4052597,204.7286389,0.04512018
4729,8.748012943,0.916867418,0.104808649,374.5328542,590.6899384,379.9045175,2943.828542,0.773968766,17.8103648,29.35571192,21.6740338,147.4955584,0.011822038
4730,1.320283849,0.209712072,0.158838626,389.7687075,627.9047619,395.6394558,3352.428571,0.791252478,12.57583464,28.10531401,16.83601227,174.925581,0.011530312
4787,1.455000232,0.21579097,0.148309922,490.0864198,834.7160494,726.5246914,3207.524691,0.732663688,41.59840463,53.07424416,123.081814,294.8004947,0.036861992
4983,2.676501573,0.539459646,0.201554018,366.9697987,611.8020134,383.2080537,3054.325503,0.784906675,21.64830054,35.72469172,45.00748537,201.4033043,0.015174913
5312,3.152544002,0.353697527,0.112194319,371.7321937,721.5014245,416.988604,3418.965812,0.80241201,27.62663447,39.49993668,42.16802968,322.1583355,0.023690551
5406,1.966947493,0.49756046,0.252960723,887.6712329,1300.840183,1596.296804,2697.424658,0.505014588,80.0499938,110.7517143,206.2012657,146.0442862,0.032600294
5503,6.242153248,0.67713926,0.108478474,394.7136691,644.5352518,423.0992806,3555.041727,0.798762093,27.17183075,51.87641719,53.67384894,355.3462811,0.019970505
5636,1.40111751,0.383474188,0.273691668,374.2692308,588.2948718,379.1217949,3095.717949,0.784008248,16.91815065,32.27287245,22.93225449,134.5938116,0.011965557
5719,1.40112919,0.281731451,0.201074571,372.2115385,717.275641,392.5705128,3346.301282,0.799299741,18.14565072,34.27847509,24.2037353,234.5193965,0.011461409
5766,1.922049453,0.413542528,0.21515707,360.3504673,568.9626168,364.8037383,2658.21028,0.760677565,18.0844024,35.52990547,27.8282591,176.1247362,0.01420336
5861,1.787312666,0.605672353,0.338873195,513.6733668,759.1356784,878.4874372,1653.603015,0.513864936,85.87546094,132.4737317,102.9140005,399.8596701,0.092022249
5985,2.227411238,0.371657086,0.16685607,702.8548387,1081.709677,1206.879032,2769.923387,0.592993967,76.41477416,116.8885953,196.9135568,268.7851477,0.052332141
6176,2.416033798,0.347616764,0.143879098,363.535316,590.9776952,363.464684,3097.903346,0.789667288,15.68544749,33.8130211,22.2317269,147.081502,0.010898319
6272,3.071708056,0.929582677,0.302627288,456.9239766,764.7982456,677.6637427,1511.590643,0.517100972,32.55503004,29.91400573,94.55697487,415.9280571,0.097347093
6377,4.715354431,0.521539628,0.110604544,453.2019048,745.6190476,797.6952381,1074.434286,0.390628581,35.44263719,58.71609481,129.4768484,298.783906,0.099665084
6389,2.254386607,0.311760399,0.138290566,345.1035857,614.561753,431.1713147,2498.649402,0.752734774,21.88234967,43.27132042,41.84808877,366.2170894,0.039808778
6457,2.981869505,0.593199781,0.198935527,377.1385542,603.6777108,382.9638554,3100.195783,0.782965607,16.19216424,31.34345916,20.26855692,101.8688552,0.009814222
6480,1.625653084,0.383605536,0.235970109,903.3149171,1319.370166,1667.801105,3019.60221,0.541434505,156.6645931,181.4092396,226.8804242,161.083887,0.060586178
6542,1.553823274,0.251795576,0.162049044,406.2080925,711.2138728,504.2774566,3465.65896,0.787694565,32.97766234,38.75782642,48.31550151,393.8259626,0.031526988
6663,1.562782874,0.365551683,0.23391073,515.4195402,832.6954023,800.7298851,3423.017241,0.73751804,77.30445678,115.2339379,238.4319962,197.6224132,0.04242362
6720,1.625639336,0.539469342,0.331850571,435.0883978,585.2430939,554.3314917,1554.21547,0.549449796,18.44490078,33.68805458,84.43130378,349.2080134,0.080762805
6744,1.715488552,0.281784395,0.164258977,365.4188482,656.0837696,431.6701571,2908.874346,0.77463703,28.61068002,52.8552472,49.56591676,256.3698293,0.03505376
6876,1.957963727,0.47344003,0.241802248,420.706422,726.3348624,535.6376147,3366.050459,0.776570459,44.97419696,83.80151432,101.4171104,271.2232611,0.030825591
6901,1.553787333,0.287755541,0.18519622,401.2543353,598.2890173,413.7861272,3159.132948,0.770703637,19.70078638,28.57482519,23.95308966,458.5307422,0.032978317
7021,2.245373632,0.575421047,0.25626962,772.288,1532.884,1862.196,1598.032,0.345175201,38.15952901,81.44181741,176.6271843,180.9627948,0.050963231
7049,1.975925528,0.263702055,0.133457487,399.2045455,713.6045455,456.0272727,4154.063636,0.824233064,21.87571739,72.38716918,54.37397294,299.9155826,0.010004338
7223,2.568703209,0.55736664,0.216983666,385.9335664,648.8951049,467.5944056,3468.933566,0.797532911,26.6207766,67.80857611,99.34255728,381.6914329,0.028072483
7326,1.957977143,0.527379759,0.269349293,361.5321101,576.0917431,368.4816514,2748.527523,0.766965535,23.92001603,48.15232001,37.4514387,191.7547437,0.016530641
7382,2.865097628,0.329614731,0.115044852,778.5266458,1614.680251,2106.344828,1369.661442,0.274291979,23.10881584,50.89128212,47.63890874,82.4542838,0.030915869
7608,1.410084102,0.191775577,0.136002935,408.955414,643.8407643,413.0127389,3706.464968,0.80006649,17.35908243,42.45095353,19.25902628,329.3926526,0.017107399
7657,5.990705102,0.946910716,0.158063316,358.4227886,608.9250375,376.5502249,2998.865067,0.786086882,14.86489575,36.1012975,19.16104765,145.7767837,0.012965112
7661,3.053729424,0.389620169,0.127588308,366.2352941,666.8970588,383.7382353,3439.211765,0.807064921,16.55447577,37.51339572,26.33882376,196.7169984,0.01232017
7824,1.966964468,0.455546362,0.231598674,357.0913242,563.4657534,417.8630137,2113.324201,0.707294781,25.13396889,33.93102104,78.48472914,256.869813,0.042539112
7851,1.275376955,0.221699789,0.173830794,355.4295775,534.8028169,358.8450704,2518.021127,0.752034999,19.43470533,36.24624988,26.62540135,175.3044957,0.014590638
7960,2.802206472,0.629251375,0.224555678,393.1217949,546.1057692,398.4775641,2654.221154,0.739894931,17.92404229,33.41791833,30.56708625,278.7526173,0.025956138
7961,1.374191708,0.251743053,0.183193547,452.5294118,662.5359477,500.3529412,3287.875817,0.757278448,33.352002,42.37023939,50.59806406,176.4227623,0.024667133
8007,1.472978666,0.593583047,0.402981428,412.9146341,624.804878,672.9573171,1318.359756,0.510942135,28.78317556,47.32408537,89.6746916,278.6804553,0.087133644
8117,1.607684173,0.49146737,0.305698954,374.1117318,631.9553073,418.8547486,3837.921788,0.822189376,15.57796004,34.42641089,48.38807446,143.466766,0.008940898
8147,2.110634987,0.515414904,0.244198977,394.9957447,571.7829787,393.2638298,3006.582979,0.767389911,14.90152802,30.17498341,19.06529968,154.6986198,0.011451135
8148,1.454990553,0.347640862,0.238929979,402.4382716,608.0246914,398.1049383,3287.512346,0.781766625,15.40667814,32.7613146,18.363009,111.5187775,0.008270075
8306,1.742405152,0.527588134,0.302793029,406.8762887,655.1494845,541.9587629,3344.314433,0.781001778,31.08179339,48.26463455,116.5751258,318.2318201,0.030718383
8587,2.559742715,0.359565261,0.140469298,359.8526316,622.1438596,367.1017544,3197.810526,0.796715724,18.56543533,55.45043154,28.49017925,303.2351024,0.014011636
8720,3.565708473,0.599466825,0.168119976,434.0176322,727.4332494,704.8967254,1919.816121,0.602478276,49.57977137,57.33015057,121.8061132,632.4777426,0.120162523
8809,3.125564331,0.779172325,0.249290126,726.4856322,1143.416667,1379.701149,2482.448276,0.543167772,100.5630106,134.4117355,204.0414924,395.205313,0.056454552
8848,2.487868395,0.263754641,0.106016316,386.6101083,694.2851986,406.101083,4443.566787,0.839692258,14.62178885,39.5987332,22.33223848,213.6617944,0.007498667
8880,1.526841448,0.251739912,0.164876263,404.6470588,605.8352941,407.0588235,3526.511765,0.793838225,15.94012902,20.31226467,32.35759989,162.276236,0.010754755
8897,1.796326413,0.191817259,0.106783075,391.99,708.35,579.475,2626.235,0.734034014,27.24078195,54.827436,74.85066792,420.663534,0.050830486
8970,1.311303046,0.227700207,0.17364423,361.3082192,546.4452055,369.5136986,2738.089041,0.766627314,18.07744454,20.20823691,18.66593294,132.929067,0.011347583
9124,1.841222353,0.33559019,0.18226489,357.7414634,610.1414634,388.9170732,2635.907317,0.760585862,17.42537275,32.42509449,23.49442886,148.5397095,0.01359065
9143,3.080673789,0.731184124,0.23734552,358.516035,595.4139942,364.8921283,2953.434402,0.783293155,17.75825826,30.43357318,20.63020331,128.8162283,0.011384756
9371,2.532785592,0.43755669,0.172757099,642.2021277,973.0921986,1073.489362,2891.769504,0.635589092,100.6840921,115.4917323,195.5459778,254.7646043,0.053937432
9529,4.22131862,0.773080718,0.183137258,365.8340426,567.7744681,375.7106383,2885.270213,0.774424119,20.36673651,39.01052544,22.62546855,180.305147,0.014917751
9530,2.748346503,0.707181191,0.257311511,379.1568627,609.9738562,394.5882353,3192.98366,0.787503501,18.88137868,42.24370322,28.86327962,132.7711567,0.011677161
9564,1.760372256,0.407461971,0.231463527,520.6122449,865.6377551,785.5510204,2627.204082,0.669898513,124.4613941,209.8775135,287.0056775,286.0727345,0.068281958
9760,2.87407296,0.659320931,0.22940299,406.109375,720.0125,447.184375,4077.496875,0.818627154,22.13630983,47.12399272,37.80929385,152.0166836,0.012054074
9856,3.134564646,0.653152255,0.208370963,362.1547278,619.9885387,379.5100287,3260.146132,0.799895755,19.85331588,47.16545694,26.31338625,127.5970168,0.011164468
9862,3.853086756,0.814966276,0.211509973,350.6340326,573.5804196,358.0559441,2908.944056,0.784372328,25.77597334,33.49321578,32.11263244,188.7192858,0.017265396
9864,2.901039124,0.611267205,0.210706295,351.1393189,564.8018576,365.2693498,2622.03096,0.763337653,22.11044627,32.05368744,26.170343,170.569012,0.015001325
10291,6.098417808,0.725364551,0.118943072,801.9396171,1159.605302,1384.291605,2842.674521,0.562389743,205.1013151,263.8046906,316.1924152,342.9470428,0.080744964
10406,1.437039364,0.209803891,0.145997317,742.65,1545.375,2044.16875,1351.85625,0.289396363,12.40571992,46.02812239,42.82481821,100.5910112,0.032030315
10553,1.679539548,0.407685972,0.24273675,712.684492,1403.229947,1838.951872,1540.903743,0.358169062,33.41788082,93.63625321,108.2151523,295.4452833,0.074892198
10596,1.571755685,0.533575146,0.339477153,578.88,855.4114286,949.28,1493.605714,0.432449632,117.8719469,177.3751848,124.5147196,346.7663246,0.09855559
10618,2.00285739,0.311599013,0.155577234,410.4170404,587.5874439,399.7399103,3687.049327,0.799052454,15.83362474,29.69606132,18.04585186,255.1570481,0.012489967
10842,4.014739192,0.719247659,0.179151777,391.9373602,626.6733781,427.2729306,3429.03132,0.794223291,25.75985362,47.7026551,53.55372606,235.6797514,0.016740147
10868,1.320281456,0.221752178,0.167958261,968.3809524,1443.85034,1772.789116,2925.306122,0.503340112,93.66855976,98.60793778,130.0311465,99.31874882,0.034218724
10976,3.152529169,0.527419765,0.167300519,348.1509972,561.985755,364.4843305,2569.08547,0.76093707,21.26734567,32.84878466,26.261197,166.3440963,0.013554354
11318,1.661587114,0.239714532,0.144268411,342.3513514,550.6162162,348.6054054,2703.221622,0.774518767,18.75386368,30.92485206,24.01564194,197.9038512,0.014908679
11324,5.793100592,0.785082507,0.135520261,358.6434109,616.3705426,371.5302326,3060.086822,0.789654047,16.59351369,33.42058447,19.59459697,182.3644359,0.013800146
11411,2.532763491,0.521428622,0.205873396,397.893617,585.2836879,397.4574468,3246.744681,0.781142187,13.82874521,28.82671908,20.88095297,178.8473933,0.01291313
11721,1.374166655,0.323640346,0.235517537,420.8888889,767.0522876,467.9411765,3766.75817,0.798808668,23.30505806,39.25084492,40.13435254,119.3332919,0.013005277
11732,1.87712875,0.353602816,0.188374301,408.8325359,755.1770335,444.7129187,4351.842105,0.827961561,19.76680623,63.6560941,32.24163391,215.2991857,0.010303044
11768,1.544804866,0.269688447,0.174577678,396.25,554.7674419,390.5232558,3073.662791,0.771065703,14.24231608,33.45247984,22.28167723,176.9271242,0.013560402
