"area","edge","E_A","mean_B1","mean_B2","mean_B3","mean_B4","mean_NDVI","sd_B1","sd_B2","sd_B3","sd_B4","sd_NDVI","Landcover"
2.41603379751167,0.347616764231213,0.143879098292926,363.53531598513,590.977695167286,363.46468401487,3097.90334572491,0.789667288388461,15.6854474929077,33.8130211037177,22.2317269001581,147.081502015152,0.0108983185423793,"Forest"
3.07170805646703,0.929582677499357,0.302627287623333,456.923976608187,764.798245614035,677.663742690058,1511.59064327485,0.517100972303173,32.5550300356358,29.9140057305702,94.556974871247,415.928057061793,0.0973470934660476,"River"
201.648273398077,5.66384996416063,0.0280877682150025,519.880851632444,753.270054785978,917.430804863926,899.890116253174,0.265306242026362,40.3097219938471,34.1005323994469,58.6588617377819,106.097102625865,0.0491868481289707,"River"
1.25740829502773,0.41960759037908,0.333708304644059,465.807142857143,840.278571428571,584.742857142857,3415.37857142857,0.75858499280044,51.7468792968026,79.0545816233464,110.096058217102,231.27695154185,0.0353170766103517,"Early secondary"
2.61361063719082,0.623305264565622,0.238484361708739,410.649484536082,738.625429553265,467.443298969072,3969.24054982818,0.812028420544982,29.4006947737916,60.2248709026917,59.70570972618,218.620022756475,0.0166731238756586,"Forest"
1.68850923309305,0.299571983411733,0.177418030971006,406.601063829787,604.654255319149,401.484042553192,4016.60106382979,0.815858541333929,22.2077068796289,35.1653486617339,26.3589934451608,211.480408060687,0.0113959642322756,"Forest"
2.08373124103657,0.335630211830228,0.161071737669617,356.85775862069,594.737068965517,436.271551724138,2854.14224137931,0.776974053218447,16.341897132245,36.5471267373665,22.1578254908319,215.21235165106,0.0144601226609718,"Forest"
1.45502031652777,0.257690263509652,0.177104237365289,360.444444444444,605.962962962963,454.234567901235,2916.89506172839,0.779826054234564,14.2541265682469,29.2119878584903,19.129030070211,112.38236682406,0.0106607145922845,"Forest"
1.59870842031081,0.377644679453026,0.236218609131743,443.713483146067,785.275280898876,603.97191011236,3730.0393258427,0.786631664198436,37.1497494604512,53.8608539563169,132.057487472164,213.386214200549,0.0231014042593332,"Early secondary"
3.31417384573424,0.68323113179835,0.206154282666178,505.731707317073,809.116531165312,760.065040650407,2648.75067750677,0.671752595400746,57.9933569805252,81.7695926056319,153.643294883201,445.698709716878,0.0633584324424692,"Early secondary"
3.03576991266837,0.533354315995325,0.175689967072149,356.795857988166,558.269230769231,372.565088757396,2799.87869822485,0.77345412616899,24.3069463030464,40.4406918201969,33.4267909062302,183.944628059023,0.0161780186630001,"Forest"
2.65852593875136,0.497547679863457,0.187151711635036,489.962837837838,797.810810810811,731.037162162162,3046.84121621622,0.721904476752152,47.4196051573114,66.7156730856593,152.154767229172,244.316740354604,0.0302792395784555,"Early secondary"
2.06573757218315,0.353615791473274,0.171181371842677,731.378260869565,1106.37391304348,1292.1652173913,2616.0347826087,0.561875050741693,168.52913774094,200.443436831693,247.848697698467,419.044565804003,0.0777139223861115,"Mine"
1.59869713835709,0.2936507925699,0.183681314943537,413.168539325843,632.85393258427,409.292134831461,3673.94382022472,0.797387165299962,20.060493797853,26.8435730450687,28.1383596256497,213.720941636046,0.0125636341586527,"Forest"
3.27824420606826,0.557393335055328,0.170028008902923,1010.44109589041,1536.49863013699,1825.84931506849,2714.47123287671,0.457789259005899,112.847509473626,138.649741020066,159.688026142259,199.573094846632,0.0408469443040473,"Mine"
7.28406735357238,0.827034393142406,0.113540190253293,343.639950678175,536.435265104809,365.537607891492,2879.30332922318,0.786166151340146,20.1877870915037,29.5552913818186,25.1983637269896,191.469455324435,0.0154455507843935,"Forest"
3.8980397707397,0.725332860892314,0.186076311056897,492.71198156682,570.640552995392,392.465437788018,2510.90322580645,0.66935365327767,23.5722562536236,44.6332741345582,35.130176311587,240.215232278616,0.0372000025041716,"Forest"
5.05658797314086,0.407620418968161,0.0806117526548184,722.767317939609,1307.2539964476,1614.53463587922,1125.07637655417,0.215031342279848,21.0883803094237,33.7772870713493,55.2165596550797,120.402496071123,0.0446984150408705,"Mine"
2.38906598179633,0.383564705293787,0.160550067773928,397.484962406015,607.87969924812,392.142857142857,3408.11278195489,0.789713189117891,17.3677688739504,31.7613833627686,19.6667108288295,326.743247055517,0.018662462345692,"Forest"
4.07760452466016,0.563420580698389,0.138174405411556,746.550660792952,1326.77533039648,1622.13876651982,1268.26211453744,0.251078394442665,36.1519461645278,41.078911937407,102.044446206375,235.360499443702,0.0682825662622923,"Mine"
2.96392583324876,0.509458755912249,0.171886472393215,362.430303030303,607.590909090909,379.472727272727,3195.87575757576,0.795911508979219,16.8622973777662,31.6267062673782,22.8553170036149,158.069373270541,0.0128777899441948,"Forest"
2.63162369338774,0.808890402609901,0.307373126576696,368.77133105802,549.778156996587,353.638225255973,2821.64163822526,0.768435124854586,18.3218635003737,48.6348070085211,25.6971063264296,148.808870841569,0.013860220763348,"Forest"
1.89513457035015,0.30562918741057,0.16127044073398,520.312796208531,714.293838862559,808.763033175355,876.251184834123,0.249447346086751,69.3274959350197,122.769621300388,86.3827626009122,211.000131879938,0.0366400433882338,"River"
1.82326300151933,0.41953086073864,0.230098927246944,348.655172413793,564.665024630542,359.330049261084,3095.6354679803,0.797158167867238,16.5505319930298,38.8178802882595,21.6501076643685,170.111510088258,0.0120410931599088,"Forest"
6.61946911491106,0.946861410259616,0.143041895629773,354.215739484396,504.723202170963,337.522388059701,2697.67706919946,0.76674488692303,20.4201353042795,40.5461615155518,23.595489407435,231.000385676525,0.019414494526019,"Forest"
